CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2012-2673,"Multiple integer overflows in the (1) GC_generic_malloc and (2) calloc functions in malloc.c, and the (3) GC_generic_malloc_ignore_off_page function in mallocx.c in Boehm-Demers-Weiser GC (libgc) before 7.2 make it easier for context-dependent attackers to perform memory-related attacks such as buffer overflows via a large size value, which causes less memory to be allocated than expected.",Multiple integer overflows,,"the (1) GC_generic_malloc and (2) calloc functions in malloc.c, and the (3) GC_generic_malloc_ignore_off_page function in mallocx.c",Boehm-Demers-Weiser GC (libgc) before 7.2,context-dependent attackers,"a large size value, which causes less memory to be allocated than expected",perform memory-related attacks such as buffer overflows
CVE-2019-19543,"In the Linux kernel before 5.1.6, there is a use-after-free in serial_ir_init_module() in drivers/media/rc/serial_ir.c.",a use-after-free,,serial_ir_init_module() in drivers/media/rc/serial_ir.c,the Linux kernel before 5.1.6,,,
CVE-2017-12894,Several protocol parsers in tcpdump before 4.9.2 could cause a buffer over-read in addrtoname.c:lookup_bytestring().,,,Several protocol parsers,tcpdump before 4.9.2,,,a buffer over-read
CVE-2012-4508,Race condition in fs/ext4/extents.c in the Linux kernel before 3.4.16 allows local users to obtain sensitive information from a deleted file by reading an extent that was not properly marked as uninitialized.,Race condition,,fs/ext4/extents.c,the Linux kernel before 3.4.16,local users,reading an extent that was not properly marked as uninitialized,obtain sensitive information from a deleted file
CVE-2010-0732,"gdk/gdkwindow.c in GTK+ before 2.18.5, as used in gnome-screensaver before 2.28.1, performs implicit paints on windows of type GDK_WINDOW_FOREIGN, which triggers an X error in certain circumstances and consequently allows physically proximate attackers to bypass screen locking and access an unattended workstation by pressing the Enter key many times.",performs implicit paints on windows of type GDK_WINDOW_FOREIGN,,gdk/gdkwindow.c,"GTK+ before 2.18.5, as used in gnome-screensaver before 2.28.1",physically proximate attackers,pressing the Enter key many times,bypass screen locking and access an unattended workstation
CVE-2018-10888,"A flaw was found in libgit2 before version 0.27.3. A missing check in git_delta_apply function in delta.c file, may lead to an out-of-bound read while reading a binary delta file. An attacker may use this flaw to cause a Denial of Service.",A missing check,,git_delta_apply function in delta.c file,libgit2 before version 0.27.3,,,a Denial of Service
CVE-2020-11939,"In nDPI through 3.2 Stable, the SSH protocol dissector has multiple KEXINIT integer overflows that result in a controlled remote heap overflow in concat_hash_string in ssh.c. Due to the granular nature of the overflow primitive and the ability to control both the contents and layout of the nDPI library's heap memory through remote input, this vulnerability may be abused to achieve full Remote Code Execution against any network inspection stack that is linked against nDPI and uses it to perform network traffic analysis.",multiple KEXINIT integer overflows,the granular nature of the overflow primitive and the ability to control both the contents and layout of the nDPI library's heap memory through remote input,the SSH protocol dissector,nDPI through 3.2 Stable,,,a controlled remote heap overflow in concat_hash_string in ssh.c
CVE-2012-0210,debdiff.pl in devscripts 2.10.x before 2.10.69 and 2.11.x before 2.11.4 allows remote attackers to obtain system information and execute arbitrary code via the file name in a (1) .dsc or (2) .changes file.,,,debdiff.pl,devscripts 2.10.x before 2.10.69 and 2.11.x before 2.11.4,remote attackers,the file name in a (1) .dsc or (2) .changes file,obtain system information and execute arbitrary code
CVE-2016-1583,"The ecryptfs_privileged_open function in fs/ecryptfs/kthread.c in the Linux kernel before 4.6.3 allows local users to gain privileges or cause a denial of service (stack memory consumption) via vectors involving crafted mmap calls for /proc pathnames, leading to recursive pagefault handling.",,,The ecryptfs_privileged_open function in fs/ecryptfs/kthread.c,the Linux kernel before 4.6.3,local users,"vectors involving crafted mmap calls for /proc pathnames, leading to recursive pagefault handling",gain privileges or cause a denial of service (stack memory consumption)
CVE-2016-9317,The gdImageCreate function in the GD Graphics Library (aka libgd) before 2.2.4 allows remote attackers to cause a denial of service (system hang) via an oversized image.,,,The gdImageCreate function,the GD Graphics Library (aka libgd) before 2.2.4,remote attackers,an oversized image,a denial of service (system hang)
CVE-2018-12933,PlayEnhMetaFileRecord in enhmetafile.c in Wine 3.7 allows attackers to cause a denial of service (out-of-bounds write) or possibly have unspecified other impact because the attacker controls the pCreatePen->ihPen array index.,,,PlayEnhMetaFileRecord in enhmetafile.c,Wine 3.7,,the attacker controls the pCreatePen->ihPen array index,a denial of service (out-of-bounds write) or possibly have unspecified other impact
CVE-2020-13396,An issue was discovered in FreeRDP before 2.1.1. An out-of-bounds (OOB) read vulnerability has been detected in ntlm_read_ChallengeMessage in winpr/libwinpr/sspi/NTLM/ntlm_message.c.,An out-of-bounds (OOB) read vulnerability,,ntlm_read_ChallengeMessage in winpr/libwinpr/sspi/NTLM/ntlm_message.c,FreeRDP before 2.1.1,,,
CVE-2018-12459,"An inconsistent bits-per-sample value in the ff_mpeg4_decode_picture_header function in libavcodec/mpeg4videodec.c in FFmpeg 4.0 may trigger an assertion violation while converting a crafted AVI file to MPEG4, leading to a denial of service.",An inconsistent bits-per-sample value,,the ff_mpeg4_decode_picture_header function in libavcodec/mpeg4videodec.c,FFmpeg 4.0,,converting a crafted AVI file to MPEG4,a denial of service
CVE-2011-1146,"libvirt.c in the API in Red Hat libvirt 0.8.8 does not properly restrict operations in a read-only connection, which allows remote attackers to cause a denial of service (host OS crash) or possibly execute arbitrary code via a (1) virNodeDeviceDettach, (2) virNodeDeviceReset, (3) virDomainRevertToSnapshot, (4) virDomainSnapshotDelete, (5) virNodeDeviceReAttach, or (6) virConnectDomainXMLToNative call, a different vulnerability than CVE-2008-5086.",does not properly restrict operations in a read-only connection,,libvirt.c,the API in Red Hat libvirt 0.8.8,remote attackers,"a (1) virNodeDeviceDettach, (2) virNodeDeviceReset, (3) virDomainRevertToSnapshot, (4) virDomainSnapshotDelete, (5) virNodeDeviceReAttach, or (6) virConnectDomainXMLToNative call",a denial of service (host OS crash) or possibly execute arbitrary code
CVE-2010-3861,"The ethtool_get_rxnfc function in net/core/ethtool.c in the Linux kernel before 2.6.36 does not initialize a certain block of heap memory, which allows local users to obtain potentially sensitive information via an ETHTOOL_GRXCLSRLALL ethtool command with a large info.rule_cnt value, a different vulnerability than CVE-2010-2478.",does not initialize a certain block of heap memory,,The ethtool_get_rxnfc function in net/core/ethtool.c,the Linux kernel before 2.6.36,local users,an ETHTOOL_GRXCLSRLALL ethtool command with a large info.rule_cnt value,obtain potentially sensitive information
CVE-2017-18017,"The tcpmss_mangle_packet function in net/netfilter/xt_TCPMSS.c in the Linux kernel before 4.11, and 4.9.x before 4.9.36, allows remote attackers to cause a denial of service (use-after-free and memory corruption) or possibly have unspecified other impact by leveraging the presence of xt_TCPMSS in an iptables action.",,,The tcpmss_mangle_packet function in net/netfilter/xt_TCPMSS.c,"the Linux kernel before 4.11, and 4.9.x before 4.9.36",remote attackers,leveraging the presence of xt_TCPMSS in an iptables action,a denial of service (use-after-free and memory corruption) or possibly have unspecified other impact
CVE-2012-3831,Cross-site scripting (XSS) vulnerability in decoda/templates/video.php in Decoda before 3.3.1 allows remote attackers to inject arbitrary web script or HTML via multiple URLs in an img tag.,Cross-site scripting (XSS) vulnerability,,decoda/templates/video.php,Decoda before 3.3.1,remote attackers,multiple URLs in an img tag,inject arbitrary web script or HTML
CVE-2017-12876,Heap-based buffer overflow in enhance.c in ImageMagick before 7.0.6-6 allows remote attackers to cause a denial of service via a crafted file.,Heap-based buffer overflow,,enhance.c,ImageMagick before 7.0.6-6,remote attackers,a crafted file,a denial of service
CVE-2015-4002,"drivers/staging/ozwpan/ozusbsvc1.c in the OZWPAN driver in the Linux kernel through 4.0.5 does not ensure that certain length values are sufficiently large, which allows remote attackers to cause a denial of service (system crash or large loop) or possibly execute arbitrary code via a crafted packet, related to the (1) oz_usb_rx and (2) oz_usb_handle_ep_data functions.",does not ensure that certain length values are sufficiently large,,drivers/staging/ozwpan/ozusbsvc1.c in the OZWPAN driver,the Linux kernel through 4.0.5,remote attackers,"a crafted packet, related to the (1) oz_usb_rx and (2) oz_usb_handle_ep_data functions",a denial of service (system crash or large loop) or possibly execute arbitrary code
CVE-2013-2020,"Integer underflow in the cli_scanpe function in pe.c in ClamAV before 0.97.8 allows remote attackers to cause a denial of service (crash) via a skewed offset larger than the size of the PE section in a UPX packed executable, which triggers an out-of-bounds read.",Integer underflow,,the cli_scanpe function in pe.c,ClamAV before 0.97.8,remote attackers,"a skewed offset larger than the size of the PE section in a UPX packed executable, which triggers an out-of-bounds read",a denial of service (crash)
CVE-2015-2680,Cross-site request forgery (CSRF) vulnerability in MetalGenix GeniXCMS before 0.0.2 allows remote attackers to hijack the authentication of administrators for requests that add an administrator account via a request in the users page to gxadmin/index.php.,Cross-site request forgery (CSRF) vulnerability,,,MetalGenix GeniXCMS before 0.0.2,remote attackers,a request in the users page to gxadmin/index.php,hijack the authentication of administrators for requests that add an administrator account
CVE-2018-10895,"qutebrowser before version 1.4.1 is vulnerable to a cross-site request forgery flaw that allows websites to access 'qute://*' URLs. A malicious website could exploit this to load a 'qute://settings/set' URL, which then sets 'editor.command' to a bash script, resulting in arbitrary code execution.",a cross-site request forgery flaw,,,qutebrowser before version 1.4.1,,,arbitrary code execution
CVE-2014-2241,"The (1) cf2_initLocalRegionBuffer and (2) cf2_initGlobalRegionBuffer functions in cff/cf2ft.c in FreeType before 2.5.3 do not properly check if a subroutine exists, which allows remote attackers to cause a denial of service (assertion failure), as demonstrated by a crafted ttf file.",do not properly check if a subroutine exists,,The (1) cf2_initLocalRegionBuffer and (2) cf2_initGlobalRegionBuffer functions in cff/cf2ft.c,FreeType before 2.5.3,remote attackers,,a denial of service (assertion failure)
CVE-2018-10539,"An issue was discovered in WavPack 5.1.0 and earlier for DSDiff input. Out-of-bounds writes can occur because ParseDsdiffHeaderConfig in dsdiff.c does not validate the sizes of unknown chunks before attempting memory allocation, related to a lack of integer-overflow protection within a bytes_to_copy calculation and subsequent malloc call, leading to insufficient memory allocation.",does not validate the sizes of unknown chunks before attempting memory allocation,Out-of-bounds writes,ParseDsdiffHeaderConfig in dsdiff.c,WavPack 5.1.0 and earlier for DSDiff input,,,insufficient memory allocation
CVE-2018-9250,interface\super\edit_list.php in OpenEMR before v5_0_1_1 allows remote authenticated users to execute arbitrary SQL commands via the newlistname parameter.,,,interface\super\edit_list.php,OpenEMR before v5_0_1_1,remote authenticated users,the newlistname parameter,execute arbitrary SQL commands
CVE-2012-0856,"Heap-based buffer overflow in the MPV_frame_start function in libavcodec/mpegvideo.c in FFmpeg before 0.9.1, when the lowres option is enabled, allows remote attackers to cause a denial of service (application crash) via a crafted H263 media file. NOTE: this vulnerability exists because of a regression error.",Heap-based buffer overflow,,the MPV_frame_start function in libavcodec/mpegvideo.c,FFmpeg before 0.9.1,remote attackers,a crafted H263 media file,a denial of service (application crash)
CVE-2011-4718,Session fixation vulnerability in the Sessions subsystem in PHP before 5.5.2 allows remote attackers to hijack web sessions by specifying a session ID.,Session fixation vulnerability,,the Sessions subsystem,PHP before 5.5.2,remote attackers,specifying a session ID,hijack web sessions
CVE-2012-2084,"Cross-site scripting (XSS) vulnerability in the Printer, email and PDF versions module 6.x-1.x before 6.x-1.15 and 7.x-1.x before 7.x-1.0 for Drupal allows remote attackers to inject arbitrary web script or HTML via unspecified vectors, probably the PATH_INFO.",Cross-site scripting (XSS) vulnerability,,,"the Printer, email and PDF versions module 6.x-1.x before 6.x-1.15 and 7.x-1.x before 7.x-1.0 for Drupal",remote attackers,"unspecified vectors, probably the PATH_INFO",inject arbitrary web script or HTML
CVE-2017-0576,"An elevation of privilege vulnerability in the Qualcomm crypto engine driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-33544431. References: QC-CR#1103089.",An elevation of privilege vulnerability,,the Qualcomm crypto engine driver,"Android. Versions: Kernel-3.10, Kernel-3.18. Android ID: A-33544431",a local malicious application,,execute arbitrary code within the context of the kernel
CVE-2013-6381,Buffer overflow in the qeth_snmp_command function in drivers/s390/net/qeth_core_main.c in the Linux kernel through 3.12.1 allows local users to cause a denial of service or possibly have unspecified other impact via an SNMP ioctl call with a length value that is incompatible with the command-buffer size.,Buffer overflow,,the qeth_snmp_command function in drivers/s390/net/qeth_core_main.c,the Linux kernel through 3.12.1,local users,an SNMP ioctl call with a length value that is incompatible with the command-buffer size,a denial of service or possibly have unspecified other impact
CVE-2014-0207,"The cdf_read_short_sector function in cdf.c in file before 5.19, as used in the Fileinfo component in PHP before 5.4.30 and 5.5.x before 5.5.14, allows remote attackers to cause a denial of service (assertion failure and application exit) via a crafted CDF file.",,,"The cdf_read_short_sector function in cdf.c in file before 5.19, as used in the Fileinfo component",PHP before 5.4.30 and 5.5.x before 5.5.14,remote attackers,a crafted CDF file,a denial of service (assertion failure and application exit)
CVE-2015-2310,"Integer overflow in layout.c++ in Sandstorm Cap'n Proto before 0.4.1.1 and 0.5.x before 0.5.1.1 allows remote peers to cause a denial of service or possibly obtain sensitive information from memory via a crafted message, related to pointer validation.",Integer overflow,,layout.c++,Sandstorm Cap'n Proto before 0.4.1.1 and 0.5.x before 0.5.1.1,remote peers,a crafted message,a denial of service or possibly obtain sensitive information from memory
CVE-2018-12563,"An issue was discovered in Linaro LAVA before 2018.5.post1. Because of support for file: URLs, a user can force lava-server-gunicorn to download any file from the filesystem if it's readable by lavaserver and valid yaml.",support for file: URLs,,,Linaro LAVA before 2018.5.post1,,,force lava-server-gunicorn to download any file from the filesystem if it's readable by lavaserver and valid yaml
